shipment_id,tracking_number,ship_date,estimated_arrival,sender_company,sender_city,sender_country,exporter_id,destination_country,item_type,item_description,hs_code,hs_description,declared_value_usd,declared_value_local,local_currency,actual_value_usd,weight_kg,shipping_company,shipping_method,incoterm,documentation_status,missing_documents,duty_rate,duty_amount_usd,vat_rate,vat_amount_usd,processing_fee_usd,total_landed_cost_usd,compliance_issues,restricted_item,clearance_status
SHIP-B5EF1BDE,DEU7843941708,2025-02-14,2025-02-22,Cross-Border Shipping,Mexico City,IT,IT-316612871F,JP,Pharmaceuticals,Medical Tablets,3004.90,"Medicaments, packaged for retail sale",283.08,42250.75,JPY,283.08,2.63,Deutsche Post,Express Courier,FOB,Incomplete,"Commercial Invoice, Import License",0,0.0,10,28.31,0.0,311.39,"Missing document: Commercial Invoice, Import License; Restricted item: Pharmaceuticals requires special permits",Yes,Pending
SHIP-06581DF9,CHI9910128501,2025-02-10,2025-02-14,Global Exports Ltd,Paris,MX,MX-DF6818020F,BR,Automotive Parts,Vehicle Filters,8708.29,Parts and accessories of motor vehicles,20.95,104.75,BRL,30.92,1.2,ChinaPost,Standard Courier,CIP,Complete,None,0,0.0,17,3.56,0.0,24.51,Undervalued declaration,No,Pending
SHIP-1C8F73F4,AUS9180423865,2025-02-25,2025-03-08,Global Exports Ltd,Mexico City,MX,MX-8DDB4A2C83,DE,Electronics,Samsung Smartphone,8517.13,Smartphones,476.32,441.04,EUR,476.32,2.36,Australia Post,Postal Service,FOB,Complete,None,6.4,30.46,19,90.5,10.0,607.28,No compliance issues detected,No,Cleared
SHIP-18AD4A7C,ROY5280198539,2025-02-13,2025-02-20,Cross-Border Shipping,Mexico City,GB,GB214615870000,GB,Medical Devices,Stethoscope,9018.90,Medical instruments and appliances,606.23,481.13,GBP,606.23,8.74,Royal Mail,Air Freight,CIP,Complete,None,1.4,8.46,20,121.25,10.0,745.93,No compliance issues detected,No,Cleared
SHIP-8ACB9ABF,JAP3301985080,2025-02-26,2025-03-07,International Trading Co.,Mexico City,IT,IT-AABC4D8583,BR,Cosmetics,Beauty Moisturizer,3304.99,Beauty or make-up preparations,635.17,3175.85,BRL,635.17,0.19,Japan Post,Standard Courier,EXW,Complete,None,6.67,42.37,17,107.98,10.0,795.52,No compliance issues detected,No,Under Review
SHIP-A7D2FC8A,AUS6498663775,2025-02-27,2025-03-06,WorldWide Logistics,Milan,KR,KR-C28A568392,JP,Machinery,Industrial Robot,8483.40,Gears and gearing for machinery,320.66,47859.7,JPY,497.92,23.84,Australia Post,Postal Service,DAP,Complete,None,0,0.0,10,32.07,0.0,352.73,Undervalued declaration,No,Pending
SHIP-0818C29D,DEU8696938296,2025-03-05,2025-03-16,WorldWide Logistics,Taipei,IN,IN-DA7704589E,DE,Textiles,Cotton Fabric,6104.43,Women's dresses of synthetic fibers,566.98,524.98,EUR,566.98,3.14,Deutsche Post,Express Courier,DAP,Incomplete,"Packing List, Export Declaration",12.65,71.74,19,107.73,10.0,756.44,"Missing document: Packing List, Export Declaration",No,Pending
SHIP-02EFDB43,CAN6982582093,2025-02-11,2025-02-18,Global Exports Ltd,London,KR,KR-2108175011,IN,Medical Devices,Blood Pressure Monitor,9018.90,Medical instruments and appliances,254.75,21229.17,INR,254.75,8.42,Canada Post,Standard Courier,CIP,Complete,None,0,0.0,18,45.85,0.0,300.61,No compliance issues detected,No,Cleared
SHIP-C8AE3291,JAP7796225546,2025-02-22,2025-03-03,Beijing Global Shipping,Beijing,CN,82255273X,AU,Books,Printed Manual,4901.99,"Printed books, brochures and similar",437.66,663.12,AUD,437.66,4.11,Japan Post,Postal Service,DDP,Complete,None,0,0.0,10,43.77,0.0,481.43,Missing commercial invoice,No,Pending
SHIP-03C78489,CHI9240947641,2025-03-04,2025-03-08,WorldWide Logistics,Paris,GB,GB152105590000,DE,Jewelry,Fashion Bracelet,7113.19,"Jewelry and parts, of precious metal other than silver",860.31,796.58,EUR,860.31,0.05,ChinaPost,Ocean Freight,CIP,Complete,None,11.41,98.15,19,163.46,10.0,1131.92,No compliance issues detected,No,Cleared
SHIP-EF1DA5BA,UPS3025111615,2025-02-26,2025-03-06,American Distributors Inc,Chicago,US,60-8235012,BR,Jewelry,Fashion Watch,7113.19,"Jewelry and parts, of precious metal other than silver",718.87,3594.35,BRL,718.87,0.32,UPS,Air Freight,CIF,Complete,None,3.84,27.59,17,122.21,10.0,878.66,No compliance issues detected,No,Under Review
SHIP-B6E6274A,UPS3858420597,2025-02-19,2025-03-05,Kyoto Shipping Co.,Kyoto,JP,JP-1CD2E88262,DE,Pharmaceuticals,Medical Injection,3004.90,"Medicaments, packaged for retail sale",107.01,99.08,EUR,143.67,1.11,UPS,Standard Courier,DDP,Complete,None,0,0.0,19,20.33,0.0,127.34,Undervalued declaration,Yes,Pending
SHIP-822552AC,DHL3273100442,2025-02-22,2025-03-05,California Trading Co.,Chicago,US,33-1637713,AU,Furniture,Wooden Table,9018.90,Medical instruments and appliances,17.68,26.79,AUD,17.68,12.69,DHL,Express Courier,FCA,Complete,None,0,0.0,10,1.77,0.0,19.45,No compliance issues detected,No,Cleared
SHIP-56010B50,ROY6592589938,2025-02-07,2025-02-13,US Global Exports,Houston,US,38-4747293,BR,Electronics,Dell Monitor,8517.13,Smartphones,859.37,4296.85,BRL,859.37,1.16,Royal Mail,Postal Service,EXW,Complete,None,2.29,19.67,17,146.09,10.0,1035.13,Restricted item: Electronics requires special permits,Yes,Pending
SHIP-68EA1F50,UPS6774613457,2025-02-25,2025-02-28,International Trading Co.,Seoul,TW,TW-4C96E6C03A,GB,Automotive Parts,Vehicle Filters,8708.29,Parts and accessories of motor vehicles,152.95,121.39,GBP,152.95,8.28,UPS,Standard Courier,FCA,Complete,None,10.48,16.04,20,30.59,10.0,209.58,Missing commercial invoice,No,Pending
SHIP-DA7F81DA,AUS1794269656,2025-03-07,2025-03-14,Tokyo Trading Corp,Tokyo,JP,JP-AFA849F43C,AU,Medical Devices,Blood Pressure Monitor,9018.90,Medical instruments and appliances,360.66,546.45,AUD,481.55,5.01,Australia Post,Air Freight,FOB,Complete,None,0,0.0,10,36.07,0.0,396.73,Undervalued declaration; Incorrect weight declaration,No,Pending
SHIP-A966CA91,JAP8605244049,2025-02-18,2025-02-28,Kyoto Shipping Co.,Nagoya,JP,JP-770B0A1B6C,IN,Jewelry,Fashion Necklace,7113.19,"Jewelry and parts, of precious metal other than silver",586.04,48836.67,INR,586.04,0.06,Japan Post,Standard Courier,EXW,Complete,None,0,0.0,18,105.49,0.0,691.53,No compliance issues detected,No,Cleared
SHIP-8EBA8A60,USP7401901956,2025-02-14,2025-02-26,Cross-Border Shipping,Seoul,MX,MX-6E82FA4EA2,JP,Medical Devices,Thermometer,9018.90,Medical instruments and appliances,978.33,146019.4,JPY,978.33,2.9,USPS,Ocean Freight,DAP,Complete,None,0,0.0,10,97.83,0.0,1076.16,No compliance issues detected,No,Cleared
SHIP-819B6E7D,ROY6436843674,2025-02-17,2025-03-01,Texas Shipping LLC,Los Angeles,US,93-6409081,CA,Cosmetics,Beauty Moisturizer,3304.99,Beauty or make-up preparations,513.48,693.89,CAD,842.53,1.8,Royal Mail,Standard Courier,EXW,Complete,None,9.06,46.51,5,25.67,10.0,595.66,Undervalued declaration,No,Pending
SHIP-B7ECF0D7,DHL5405344692,2025-02-11,2025-02-18,International Trading Co.,Seoul,IN,IN-8EC3903E2B,GB,Books,Printed Textbook,4901.99,"Printed books, brochures and similar",854.76,678.38,GBP,854.76,2.46,DHL,Standard Courier,CIP,Incomplete,Export Declaration,8.74,74.67,20,170.95,10.0,1110.38,Missing document: Export Declaration,No,Pending
SHIP-3B450549,DHL6096361329,2025-02-18,2025-02-26,Cross-Border Shipping,Taipei,GB,GB168664837000,DE,Automotive Parts,Vehicle Brake Pads,8708.29,Parts and accessories of motor vehicles,22.9,21.2,EUR,22.9,9.31,DHL,Air Freight,CPT,Complete,None,0,0.0,19,4.35,0.0,27.25,No compliance issues detected,No,Cleared
SHIP-F953E62A,CAN7720113693,2025-02-10,2025-02-16,Cross-Border Shipping,Paris,MX,MX-F414A0680B,GB,Chemicals,Laboratory Reagent,8483.40,Gears and gearing for machinery,74.91,59.45,GBP,74.91,5.33,Canada Post,Air Freight,CIP,Complete,None,0,0.0,20,14.98,0.0,89.89,No compliance issues detected,Yes,Pending
SHIP-ABE376DA,USP4267434529,2025-02-27,2025-03-08,Berlin Exports,Frankfurt,DE,DE72330697,BR,Jewelry,Fashion Earrings,7113.19,"Jewelry and parts, of precious metal other than silver",250.76,1253.8,BRL,250.76,0.09,USPS,Air Freight,EXW,Complete,None,10.87,27.26,17,42.63,10.0,330.65,No compliance issues detected,No,Cleared
SHIP-1A4DE135,DHL6019275775,2025-03-05,2025-03-09,Global Exports Ltd,Seoul,MX,MX-BF519C9265,JP,Electronics,LG Speaker,8471.30,Portable computers weighing < 10kg,882.21,131673.13,JPY,882.21,2.87,DHL,Postal Service,FOB,Complete,None,0,0.0,10,88.22,0.0,970.43,No compliance issues detected,No,Cleared
SHIP-11346DD5,CHI4442429436,2025-02-12,2025-02-27,Cross-Border Shipping,London,TW,TW-9AA1CA1A81,AU,Electronics,Apple Monitor,8517.13,Smartphones,70.87,107.38,AUD,70.87,2.86,ChinaPost,Express Courier,EXW,Complete,None,0,0.0,10,7.09,0.0,77.96,No compliance issues detected,No,Held
SHIP-63F8B231,CHI3496065085,2025-02-28,2025-03-07,International Trading Co.,Seoul,IT,IT-B9B097805F,BR,Automotive Parts,Vehicle Sensors,8708.29,Parts and accessories of motor vehicles,715.24,3576.2,BRL,931.45,4.09,ChinaPost,Ocean Freight,EXW,Incomplete,Import License,9.64,68.94,17,121.59,10.0,915.77,Undervalued declaration; Missing document: Import License,No,Pending
SHIP-E59701CF,USP4867316272,2025-03-02,2025-03-08,Japan Global Supply,Nagoya,JP,JP-D2CF1EB173,FR,Toys,Children's Puzzle,9503.00,Toys; puzzles of all kinds,416.09,385.27,EUR,610.47,0.3,USPS,Postal Service,CPT,Complete,None,10.82,45.01,20,83.22,10.0,554.32,Undervalued declaration,No,Pending
SHIP-B1FA8F37,DEU1927263273,2025-02-20,2025-02-28,Guangzhou Trade Co.,Guangzhou,CN,68980793X,DE,Automotive Parts,Vehicle Transmission,8708.29,Parts and accessories of motor vehicles,689.26,638.2,EUR,689.26,13.19,Deutsche Post,Express Courier,CIF,Complete,None,9.12,62.86,19,130.96,10.0,893.08,No compliance issues detected,No,Cleared
SHIP-7A2E6E66,AUS8271002251,2025-03-07,2025-03-16,Global Exports Ltd,Mexico City,IN,IN-55134C1F7E,DE,Furniture,Wooden Table,8471.30,Portable computers weighing < 10kg,219.26,203.02,EUR,219.26,10.66,Australia Post,Standard Courier,DDP,Complete,None,3.7,8.11,19,41.66,10.0,279.03,No compliance issues detected,No,Cleared
SHIP-B7C98B6F,AUS6759990561,2025-03-04,2025-03-17,Beijing Global Shipping,Beijing,CN,23361386X,DE,Toys,Children's Plush Toy,9503.00,Toys; puzzles of all kinds,645.15,597.36,EUR,923.76,4.07,Australia Post,Express Courier,CPT,Complete,None,7.73,49.89,19,122.58,10.0,827.62,Undervalued declaration; Incorrect HS code,No,Pending
SHIP-3C741918,DHL1087401976,2025-02-12,2025-02-17,Munich Trading Group,Berlin,DE,DE93473504,FR,Chemicals,Laboratory Reagent,2106.90,Food preparations not elsewhere specified,664.8,615.56,EUR,664.8,5.84,DHL,Express Courier,CPT,Complete,None,10.74,71.38,20,132.96,10.0,879.14,No compliance issues detected,No,Under Review
SHIP-A94B49A8,AUS5192187176,2025-03-04,2025-03-10,Tokyo Trading Corp,Yokohama,JP,JP-D1F8CFB15C,AU,Cosmetics,Beauty Lipstick,3304.99,Beauty or make-up preparations,530.82,804.27,AUD,530.82,1.83,Australia Post,Express Courier,FOB,Complete,None,0,0.0,10,53.08,0.0,583.9,No compliance issues detected,No,Under Review
SHIP-C942BC5C,DEU4132857981,2025-02-13,2025-02-16,Global Exports Ltd,Paris,KR,KR-05672DC896,IN,Sporting Goods,Sports Tennis Racket,9506.91,Gymnasium or athletics articles and equipment,492.55,41045.83,INR,967.7,7.69,Deutsche Post,Air Freight,DDP,Complete,None,0,0.0,18,88.66,0.0,581.21,Undervalued declaration; Incorrect HS code,No,Pending
SHIP-7A6A1ED0,DEU7580491466,2025-03-03,2025-03-08,US Global Exports,Houston,US,22-4948228,AU,Machinery,Conveyor,8483.40,Gears and gearing for machinery,929.1,1407.73,AUD,929.1,9.41,Deutsche Post,Postal Service,FCA,Complete,None,0,0.0,10,92.91,0.0,1022.01,No compliance issues detected,No,Cleared
SHIP-100DED54,CHI3010096829,2025-02-11,2025-02-15,Texas Shipping LLC,Houston,US,70-9738188,CN,Furniture,Wooden Bed,6203.42,Men's trousers of cotton,118.31,845.07,CNY,172.62,19.11,ChinaPost,Ocean Freight,DAP,Complete,None,10.29,12.17,13,15.38,10.0,155.86,Undervalued declaration,No,Pending
SHIP-054CF6D6,CHI9770536482,2025-02-26,2025-03-07,Shanghai Export Ltd,Shenzhen,CN,92311115X,BR,Machinery,Compressor,8483.40,Gears and gearing for machinery,217.86,1089.3,BRL,327.05,6.01,ChinaPost,Air Freight,FCA,Complete,None,6.48,14.12,17,37.04,10.0,279.02,Undervalued declaration,Yes,Pending
SHIP-60ED171A,DHL9059949656,2025-02-15,2025-02-23,Cross-Border Shipping,Milan,IT,IT-DBE6E0AFBB,DE,Books,Printed Dictionary,4901.99,"Printed books, brochures and similar",94.56,87.56,EUR,94.56,3.94,DHL,Express Courier,CIF,Complete,None,0,0.0,19,17.97,0.0,112.53,No compliance issues detected,No,Held
SHIP-595034F5,CHI8588187703,2025-02-14,2025-02-21,US Global Exports,Miami,US,43-7517847,DE,Food Products,Packaged Snacks,2106.90,Food preparations not elsewhere specified,970.11,898.25,EUR,970.11,0.58,ChinaPost,Standard Courier,CIP,Complete,None,6.69,64.9,19,184.32,10.0,1229.33,Missing EORI number,No,Pending
SHIP-5293FE72,ROY7764599824,2025-02-18,2025-02-24,Cross-Border Shipping,Paris,IN,IN-617A4F67C6,AU,Cosmetics,Beauty Mascara,3304.99,Beauty or make-up preparations,507.79,769.38,AUD,801.67,1.94,Royal Mail,Air Freight,FCA,Complete,None,0,0.0,10,50.78,0.0,558.57,Undervalued declaration,No,Pending
SHIP-FEC91586,ROY3321950302,2025-03-02,2025-03-07,WorldWide Logistics,Mexico City,KR,KR-396C5AF53B,FR,Automotive Parts,Vehicle Filters,8708.29,Parts and accessories of motor vehicles,127.1,117.69,EUR,127.1,9.94,Royal Mail,Ocean Freight,EXW,Complete,None,0,0.0,20,25.42,0.0,152.52,Missing certificate of origin,No,Pending
SHIP-AB245970,DHL3370334992,2025-03-06,2025-03-19,International Trading Co.,Mexico City,TW,TW-A3EAA11FB6,JP,Cosmetics,Beauty Moisturizer,3304.99,Beauty or make-up preparations,945.7,141149.25,JPY,945.7,0.5,DHL,Postal Service,CPT,Incomplete,Export Declaration,0,0.0,10,94.57,0.0,1040.27,Missing document: Export Declaration,Yes,Pending
SHIP-EA9A028F,AUS9577293764,2025-02-25,2025-02-28,Global Exports Ltd,Seoul,TW,TW-860B1368B2,CN,Automotive Parts,Vehicle Suspension,8708.29,Parts and accessories of motor vehicles,176.62,1261.57,CNY,310.08,8.84,Australia Post,Postal Service,EXW,Complete,None,3.23,5.7,13,22.96,10.0,215.28,Undervalued declaration,No,Pending
SHIP-B8484455,CHI8028285963,2025-02-17,2025-02-27,WorldWide Logistics,London,IT,IT-C8C80469B8,GB,Medical Devices,Pulse Oximeter,9018.90,Medical instruments and appliances,45.57,36.17,GBP,45.57,1.97,ChinaPost,Postal Service,CIF,Incomplete,"Packing List, Certificate of Origin",0,0.0,20,9.11,0.0,54.68,"Missing document: Packing List, Certificate of Origin; Incorrect weight declaration",No,Pending
SHIP-E011455B,AUS4963990003,2025-02-08,2025-02-23,Japan Global Supply,Yokohama,JP,JP-9460A3FDD3,IN,Electronics,Lenovo Camera,8517.13,Smartphones,386.08,32173.33,INR,710.56,0.88,Australia Post,Air Freight,EXW,Complete,None,0,0.0,18,69.49,0.0,455.57,Undervalued declaration; Restricted item: Electronics requires special permits,Yes,Pending
SHIP-8F5563B2,FED2465866136,2025-02-17,2025-03-04,WorldWide Logistics,London,TW,TW-701AFF2A47,GB,Textiles,Silk,8708.29,Parts and accessories of motor vehicles,237.23,188.28,GBP,319.44,12.28,FedEx,Ocean Freight,DDP,Complete,None,13.24,31.41,20,47.45,10.0,326.09,Undervalued declaration; Incorrect HS code,No,Pending
SHIP-7BD71EE4,DEU1495280219,2025-02-12,2025-02-25,Global Exports Ltd,Paris,TW,TW-C36548C5DF,GB,Pharmaceuticals,Medical Tablets,3004.90,"Medicaments, packaged for retail sale",613.33,486.77,GBP,613.33,1.39,Deutsche Post,Postal Service,CIF,Complete,None,4.19,25.69,20,122.67,10.0,771.68,No compliance issues detected,No,Cleared
SHIP-CE9E8137,ROY2808695093,2025-02-27,2025-03-11,International Trading Co.,London,TW,TW-E83A17677A,FR,Books,Printed Comic,4901.99,"Printed books, brochures and similar",602.8,558.15,EUR,834.1,6.93,Royal Mail,Postal Service,CIP,Incomplete,"Packing List, Certificate of Origin",7.77,46.81,20,120.56,10.0,780.17,"Undervalued declaration; Missing document: Packing List, Certificate of Origin",No,Pending
SHIP-34B799A8,FED1880345361,2025-03-08,2025-03-20,Munich Trading Group,Frankfurt,DE,DE94046281,JP,Automotive Parts,Vehicle Transmission,8708.29,Parts and accessories of motor vehicles,145.38,21698.51,JPY,273.13,12.66,FedEx,Air Freight,CPT,Complete,None,0,0.0,10,14.54,0.0,159.92,Undervalued declaration,No,Pending
SHIP-598F8141,AUS4336956376,2025-02-13,2025-02-18,Beijing Global Shipping,Shanghai,CN,35482741X,AU,Books,Printed Manual,4901.99,"Printed books, brochures and similar",951.37,1441.47,AUD,951.37,1.33,Australia Post,Express Courier,CIF,Complete,None,0,0.0,10,95.14,0.0,1046.51,No compliance issues detected,No,Cleared
SHIP-C0D7D01D,USP2982347915,2025-03-01,2025-03-16,Cross-Border Shipping,Milan,GB,GB575916152000,US,Food Products,Packaged Tea,2106.90,Food preparations not elsewhere specified,332.25,332.25,USD,332.25,2.73,USPS,Standard Courier,CIF,Incomplete,Commercial Invoice,0,0.0,0,0.0,0.0,332.25,Missing document: Commercial Invoice; Missing EORI number,No,Pending
SHIP-9CB06506,AUS1449633015,2025-03-06,2025-03-13,Osaka Exports Ltd,Kyoto,JP,JP-738CF2CBC3,FR,Jewelry,Fashion Watch,7113.19,"Jewelry and parts, of precious metal other than silver",382.47,354.14,EUR,382.47,0.3,Australia Post,Postal Service,FOB,Complete,None,3.78,14.47,20,76.49,10.0,483.43,No compliance issues detected,No,Cleared
SHIP-4A4063EC,DEU3080803989,2025-02-24,2025-03-05,Hamburg Logistics,Berlin,DE,DE23733836,CA,Automotive Parts,Vehicle Engine,8708.29,Parts and accessories of motor vehicles,389.78,526.73,CAD,389.78,1.9,Deutsche Post,Postal Service,FOB,Complete,None,10.26,39.98,5,19.49,10.0,459.25,No compliance issues detected,No,Under Review
SHIP-51AF45DA,AUS2271900626,2025-03-06,2025-03-13,California Trading Co.,New York,US,50-3483443,GB,Apparel,H&M Socks,6104.43,Women's dresses of synthetic fibers,285.14,226.3,GBP,285.14,0.64,Australia Post,Express Courier,DDP,Complete,None,13.05,37.22,20,57.03,10.0,389.39,No compliance issues detected,No,Cleared
SHIP-10B50682,AUS1949264218,2025-02-21,2025-03-02,German Precision GmbH,Frankfurt,DE,DE32658652,US,Toys,Children's Remote Control Car,9503.00,Toys; puzzles of all kinds,485.96,485.96,USD,918.35,2.1,Australia Post,Standard Courier,FOB,Complete,None,0,0.0,0,0.0,0.0,485.96,Undervalued declaration; Incorrect HS code,No,Pending
SHIP-25B14AA1,JAP3102061250,2025-03-03,2025-03-13,Cross-Border Shipping,Mexico City,TW,TW-0252B9E3AA,GB,Machinery,Industrial Robot,8483.40,Gears and gearing for machinery,953.89,757.06,GBP,953.89,22.77,Japan Post,Air Freight,EXW,Complete,None,3.58,34.16,20,190.78,10.0,1188.83,No compliance issues detected,No,Held
SHIP-757C4892,ROY4253541197,2025-02-22,2025-03-02,International Trading Co.,Paris,MX,MX-98A2A54DEE,US,Chemicals,Industrial Solvent,7113.19,"Jewelry and parts, of precious metal other than silver",250.21,250.21,USD,450.69,6.98,Royal Mail,Postal Service,FCA,Complete,None,0,0.0,0,0.0,0.0,250.21,Undervalued declaration,Yes,Pending
SHIP-6034D1D8,ROY3715908556,2025-03-06,2025-03-12,International Trading Co.,Seoul,TW,TW-132841A1C5,JP,Apparel,Ralph Lauren Hoodie,6203.42,Men's trousers of cotton,453.64,67707.46,JPY,453.64,1.05,Royal Mail,Standard Courier,DDP,Complete,None,0,0.0,10,45.36,0.0,499.0,No compliance issues detected,No,Under Review
SHIP-BDB42459,CAN2467154761,2025-03-02,2025-03-11,Cross-Border Shipping,London,KR,KR-8BCD54F872,DE,Medical Devices,Glucose Meter,9018.90,Medical instruments and appliances,927.16,858.48,EUR,927.16,6.87,Canada Post,Standard Courier,CIP,Complete,None,4.37,40.54,19,176.16,10.0,1153.86,No compliance issues detected,No,Under Review
SHIP-3A0CC58E,USP3411612850,2025-03-02,2025-03-13,Global Exports Ltd,Seoul,GB,GB360297461000,CA,Machinery,CNC Machine,8483.40,Gears and gearing for machinery,346.1,467.7,CAD,346.1,11.76,USPS,Postal Service,DAP,Complete,None,7.47,25.85,5,17.31,10.0,399.25,Missing commercial invoice,No,Pending
SHIP-668F23B2,ROY1180513987,2025-03-01,2025-03-05,Beijing Global Shipping,Beijing,CN,17469426X,CN,Machinery,Industrial Robot,8483.40,Gears and gearing for machinery,917.71,6555.07,CNY,917.71,21.69,Royal Mail,Express Courier,CIF,Complete,None,7.9,72.5,13,119.3,10.0,1119.51,No compliance issues detected,No,Cleared
SHIP-9DBDB627,AUS2103007967,2025-02-26,2025-03-06,WorldWide Logistics,Taipei,MX,MX-9009A4D486,US,Sporting Goods,Sports Tennis Racket,9506.91,Gymnasium or athletics articles and equipment,406.3,406.3,USD,406.3,2.01,Australia Post,Air Freight,DDP,Complete,None,0,0.0,0,0.0,0.0,406.3,No compliance issues detected,No,Under Review
SHIP-D8625B41,FED1144077120,2025-02-18,2025-02-24,WorldWide Logistics,London,KR,KR-C6025E2EF2,JP,Machinery,Conveyor,8483.40,Gears and gearing for machinery,86.86,12964.18,JPY,114.58,21.46,FedEx,Ocean Freight,EXW,Complete,None,0,0.0,10,8.69,0.0,95.55,Undervalued declaration,No,Pending
SHIP-6F51FC2B,FED1218860753,2025-02-27,2025-03-05,Guangzhou Trade Co.,Hangzhou,CN,99058143X,BR,Food Products,Packaged Coffee,2106.90,Food preparations not elsewhere specified,105.58,527.9,BRL,105.58,2.1,FedEx,Express Courier,CIP,Complete,None,3.75,3.96,17,17.95,10.0,137.49,No compliance issues detected,No,Cleared
SHIP-ADB18CF2,DEU3729978536,2025-02-27,2025-03-12,Shanghai Export Ltd,Shanghai,CN,96676378X,CA,Pharmaceuticals,Medical Capsules,3004.90,"Medicaments, packaged for retail sale",425.87,575.5,CAD,576.6,0.35,Deutsche Post,Air Freight,DDP,Complete,None,3.99,16.99,5,21.29,10.0,474.16,Undervalued declaration,No,Pending
SHIP-9CC8F971,JAP8528614273,2025-02-26,2025-03-07,Global Exports Ltd,Paris,MX,MX-0216D3A080,JP,Textiles,Cotton Fabric,9506.91,Gymnasium or athletics articles and equipment,548.51,81867.16,JPY,851.97,9.77,Japan Post,Ocean Freight,DAP,Complete,None,0,0.0,10,54.85,0.0,603.36,Undervalued declaration,No,Pending
